Industries,Q1,Q2,Q3,Q4,Q1V,Q2V,Q3V,Q4V,2021Total
Rental and leasing services and lessors of intangible assets,366,404.7,414,412.3,366,404.7,414,412.3,1597
Legal services,421.1,407.9,427.9,434.3,421.1,407.9,427.9,434.3,1691.2
Computer systems design and related services,526.8,555.3,564.4,566.7,526.8,555.3,564.4,566.7,2213.2
"Miscellaneous professional, scientific, and technical services",1784.8,1855.7,1909.5,1974.7,1784.8,1855.7,1909.5,1974.7,7524.7
Management of companies and enterprises,715.4,742.3,723.5,751.3,715.4,742.3,723.5,751.3,2932.5
Administrative and support services,1145.6,1214.4,1291.5,1335.5,1145.6,1214.4,1291.5,1335.5,4987
Waste management and remediation services,121.7,123.9,129.1,134.6,121.7,123.9,129.1,134.6,509.3
Educational services,373.4,388,398.2,407,373.4,388,398.2,407,1566.6
Ambulatory health care services,1185.8,1216.1,1240.6,1257.1,1185.8,1216.1,1240.6,1257.1,4899.6
Hospitals,1000.4,1025.9,1050.2,1072.4,1000.4,1025.9,1050.2,1072.4,4148.9
Nursing and residential care facilities,256.3,263.8,265.7,271.5,256.3,263.8,265.7,271.5,1057.3
Social assistance,250.2,259.7,263.1,268,250.2,259.7,263.1,268,1041
"Performing arts, spectator sports, museums, and related activities",151.9,164.7,215.9,232.6,151.9,164.7,215.9,232.6,765.1
"Amusements, gambling, and recreation industries",128.7,144.1,148.8,153.4,128.7,144.1,148.8,153.4,575
Accommodation,190.4,252.2,296.4,303.8,190.4,252.2,296.4,303.8,1042.8
Food services and drinking places,894.9,1034.4,1094.7,1118.1,894.9,1034.4,1094.7,1118.1,4142.1
"Other services, except government",723,753,767.6,780.6,723,753,767.6,780.6,3024.2
Nondefense,586.9,572.6,553.2,577.1,586.9,572.6,553.2,577.1,2289.8
Government enterprises,92.5,92.6,91.5,92.8,92.5,92.6,91.5,92.8,369.4
General government,2589.2,2647.6,2717.3,2765.7,2589.2,2647.6,2717.3,2765.7,10719.8
Government enterprises,353.1,373.3,390.4,398,353.1,373.3,390.4,398,1514.8
